Disp /mm,Force /kN
0.229368152,12.69419125
0.231400696,12.73641404
0.23355066,12.77673603
0.236349275,12.81680175
0.238470579,12.85913093
0.240933757,12.89917897
0.243154807,12.93729573
0.24544081,12.97647137
0.24820508,13.01624402
0.251024068,13.05533498
0.253179804,13.09391914
0.255994861,13.1323018
0.258734338,13.16957566
0.261042412,13.20529175
0.264122309,13.24183827
0.266717357,13.27961039
0.269788317,13.31438966
0.272481843,13.34859068
0.275381034,13.38444755
0.278063493,13.4194489
0.280807371,13.45473937
0.283876466,13.49020429
0.286793173,13.52418634
0.289707908,13.55754604
0.292709007,13.58983453
0.295880754,13.62396554
0.298882488,13.65879493
0.301927017,13.69006365
0.305178585,13.72126459
0.308349105,13.75259937
0.311666562,13.78297034
0.314596205,13.81433846
0.318256707,13.8455749
0.321730043,13.87640254
0.325580878,13.90605545
0.329104719,13.93534847
0.33292054,13.96632964
0.336426585,13.99568874
0.339952115,14.02267551
0.343338947,14.04955858
0.346661629,14.07638681
0.350286357,14.10346677
0.353929081,14.13097711
0.35767219,14.15764201
0.361317559,14.18339566
0.364879272,14.20862671
0.368744119,14.23514138
0.372595555,14.26138945
0.376277111,14.28448305
0.380305342,14.30853288
0.384339323,14.33250612
0.388226242,14.35557733
0.392342839,14.37975597
0.396393243,14.4030769
0.40057419,14.42634339
0.404919976,14.44795017
0.408829848,14.47040076
0.41299951,14.49400296
0.417629022,14.51482
0.421615741,14.53574369
0.42583614,14.55639328
0.430040115,14.57596226
0.434567471,14.596402
0.438820917,14.61690933
0.443257844,14.63645798
0.44788175,14.65452035
0.452202122,14.67319927
0.456869618,14.69297477
0.461433802,14.71125328
0.466334114,14.72826154
0.470973219,14.74521281
0.475630859,14.76144072
0.480404439,14.77861269
0.485296027,14.79571717
0.490180189,14.81172798
0.494915555,14.82669289
0.499529375,14.8420765
0.504225444,14.85926014
0.509254361,14.87339902
0.514417618,14.8871675
0.519245653,14.90192141
0.524035549,14.91564734
0.528997771,14.92995193
0.534202738,14.94350833
0.539319778,14.9567282
0.544632808,14.96891013
0.549813012,14.98170188
0.55528191,14.99524698
0.560617139,15.00566672
0.56600653,15.01619206
0.571400066,15.02746091
0.576926058,15.03829244
0.58233281,15.04903945
0.587669313,15.05876587
0.593135743,15.06733705
0.598449565,15.07634744
0.604070809,15.08711334
0.609470555,15.09752225
0.614985065,15.10508002
0.620428906,15.11294664
0.626250934,15.12068526
0.631888683,15.12784064
0.637706395,15.13566858
0.643278823,15.14199096
0.648953142,15.14801773
0.65478828,15.15432039
0.660770629,15.16303512
0.66677258,15.16915192
0.67256985,15.17323475
0.678444102,15.1788537
0.684337925,15.18380882
0.69007666,15.18939314
0.696187603,15.1945387
0.702450691,15.19790911
0.708383221,15.20047947
0.714500498,15.20496991
0.720522428,15.21032087
0.726943458,15.21244496
0.733844255,15.21405233
0.739959349,15.21649537
0.746168195,15.2193081
0.752859126,15.22216731
0.759136577,15.22325638
0.765279794,15.22321563
0.771510442,15.22442508
0.778137125,15.22766682
0.784524292,15.22768145
0.790800859,15.22685454
0.797386703,15.22712364
0.803528336,15.22673962
0.810109113,15.22804103
0.816919225,15.22713673
0.823294018,15.2260663
0.829967462,15.22400864
0.8367719,15.22434215
0.84312812,15.22380276
0.849632573,15.22146972
0.856392415,15.22024261
0.862861014,15.21841649
0.869466193,15.21681889
0.876100563,15.21468437
0.882845108,15.21124861
0.889487747,15.20723225
0.895956801,15.20505622
0.90273573,15.20294579
0.909727293,15.19809752
0.916488249,15.19391778
0.923022709,15.19063233
0.929916603,15.18767526
0.93683466,15.18410919
0.943047555,15.17887633
0.949925029,15.17362607
0.956651003,15.16947821
0.963839303,15.16691897
0.970693451,15.16002077
0.977589122,15.15376941
0.984231657,15.14841023
0.991162504,15.14230042
0.997785935,15.13798576
1.004812582,15.13237471
1.011761761,15.12575536
1.018503572,15.1186859
1.025462521,15.11364775
1.0323432,15.10678869
1.039279913,15.09865828
1.046157989,15.09216083
1.052858561,15.08554533
1.059690839,15.0789202
1.066809994,15.07190215
1.073861125,15.06323929
1.080728315,15.05373046
1.087735199,15.04639913
1.094839926,15.03895454
1.101923363,15.02841201
1.108680597,15.01913795
1.115394928,15.0099562
1.122621405,15.00146699
1.129612746,14.99280972
1.136595197,14.98257196
1.143387236,14.97192013
1.150503147,14.9616647
1.157488972,14.95395373
1.164511057,14.94177364
1.171565506,14.9300036
1.17840791,14.91844958
1.185351903,14.90688558
1.192069947,14.89666723
1.199546766,14.88534547
1.206751612,14.87223637
1.213536398,14.85894951
1.22075228,14.84754582
1.227884895,14.83408578
1.235094274,14.81912998
1.24215182,14.80530263
1.249393683,14.79112317
1.25647734,14.77717549
1.263596214,14.76264595
1.270460606,14.74645839
1.277735464,14.73034389
1.284785996,14.71619089
1.291987165,14.70122986
1.299048235,14.68295404
1.305866143,14.66655146
1.313409232,14.64901698
1.320449837,14.63193967
1.327658269,14.61441596
1.335098159,14.59544039
1.341837817,14.57604059
1.349564956,14.55705498
1.356743832,14.53919748
1.364060191,14.51690081
1.371382357,14.49642762
1.378802379,14.47525633
1.386055705,14.4529283
1.393362394,14.43112108
1.401117018,14.40806125
1.408802711,14.38341586
1.416354542,14.35978297
1.42406198,14.33641906
1.431708395,14.30903852
1.439808158,14.28206945
1.447157412,14.25601347
1.454626048,14.22888069
1.462270222,14.20199509
1.470096744,14.17313083
1.477737044,14.14371887
1.485418019,14.11404774
1.493053007,14.08650926
1.501063016,14.05449121
1.509621238,14.01854541
1.518518152,13.98117418
1.527707578,13.94382544
1.537120835,13.90451661
1.546320969,13.86370868
1.555181845,13.82209331
1.564391942,13.78232492
1.573663002,13.73787903
1.583045353,13.69300044
1.592224782,13.64780659
1.601898158,13.60125415
1.611454996,13.55223876
1.621258422,13.50034061
1.630943079,13.44940015
1.640983324,13.39874671
1.650914819,13.34178658
1.660533635,13.28565042
1.670356871,13.22750759
1.680091755,13.16829229
1.690131359,13.10590869
1.700537225,13.04247723
1.710625763,12.97913894
1.721066743,12.91190042
1.731726376,12.84117039
1.74217397,12.76997358
1.752468624,12.69521033
1.763122022,12.61855752
1.774012767,12.53699007
1.784737937,12.45370223
1.795893613,12.36864501
1.807497485,12.27650375
1.818913463,12.18215753
1.83063506,12.08403385
1.843128424,11.97815318
1.855078123,11.86625226
1.86733578,11.75051449
1.879570966,11.62999173
1.892674286,11.49814707
1.905610132,11.36036105
1.919290584,11.21329401
1.933556728,11.05241749
1.948301549,10.87528708
1.963860843,10.66765084
